,Rank,Racer,Career,,,,,,,,,,
0,1,joshua728,187.08,,,,,,,,,,
1,2,arenasnow,200.8,,,,,,,,,,
2,3,typos_z,181.51,,,,,,,,,,
3,4,florentine,176.56,,,,,,,,,,
4,5,iamtyperacer,185.91,,,,,,,,,,
5,6,arenasnow2,177.77,,,,,,,,,,
6,7,chakk,180.4,,,,,,,,,,
7,8,performancecheck,183.31,,,,,,,,,,
8,9,deroche1,138.45,,,,,,,,,,
9,10,slekap,164.41,,,,,,,,,,
10,11,poopandfart,179.82,,,,,,,,,,
11,12,joshunq,179.3,,,,,,,,,,
12,13,arc_sec,167.41,,,,,,,,,,
13,14,flaneur,170.22,,,,,,,,,,
14,15,slowaccount,178.54,,,,,,,,,,
15,16,atthetop,128.84,,,,,,,,,,
16,17,afterbreakonly,176.55,,,,,,,,,,
17,18,mako640,158.9,,,,,,,,,,
18,19,i'd buy that for a dollar! ..,114.07,,,,,,,,,,
19,20,decompose,171.31,,,,,,,,,,
20,21,mpo..,172.67,,,,,,,,,,
21,22,shazman,162.98,,,,,,,,,,
22,23,mostlynonquit,169.04,,,,,,,,,,
23,24,alpha_panda,160.88,,,,,,,,,,
24,25,rosew..,150.93,,,,,,,,,,
25,26,eikomaniac,157.1,,,,,,,,,,
26,27,blaqshaq,169.4,,,,,,,,,,
27,28,keegant,132.45,,,,,,,,,,
28,29,landarian,141.66,,,,,,,,,,
29,30,treiderik,169.3,,,,,,,,,,
30,31,"Mashooq ""Qwerty Shnogurt"" H..",167.55,,,,,,,,,,
31,32,xeogran,160.78,,,,,,,,,,
32,33,7emp7a7ion,167.27,,,,,,,,,,
33,34,typi..,145.2,,,,,,,,,,
34,35,yzzahs,165.67,,,,,,,,,,
35,36,oh_hai,150.06,,,,,,,,,,
36,37,mcaso123,155.87,,,,,,,,,,
37,38,tsvukk,158.51,,,,,,,,,,
38,39,PhilliesMagic - Whisper wor..,145.71,,,,,,,,,,
39,40,licahfox,151.62,,,,,,,,,,
40,41,ibexus,156.67,,,,,,,,,,
41,42,mythicalrocket,159.33,,,,,,,,,,
42,43,uberkelium,156.47,,,,,,,,,,
43,44,maximumchris2,141.52,,,,,,,,,,
44,45,freshfastjashe,161.22,,,,,,,,,,
45,46,v..,142.88,,,,,,,,,,
46,47,hurst,152.35,,,,,,,,,,
47,48,sidd_,148.85,,,,,,,,,,
48,49,_son_,156.34,,,,,,,,,,
49,50,brittanergh,150.29,,,,,,,,,,
50,51,xayiver,157.67,,,,,,,,,,
51,52,lysergico,155.5,,,,,,,,,,
52,53,jessegarcia,129.72,,,,,,,,,,
53,54,nothisisjohn,156.57,,,,,,,,,,
54,55,gnikgg,158.02,,,,,,,,,,
55,56,nonquit,150.38,,,,,,,,,,
56,57,izanagiii,154.76,,,,,,,,,,
57,58,lalabird8,156.18,,,,,,,,,,
58,59,despot,146.41,,,,,,,,,,
59,60,Discord Bot: tinyurl.com/Ty..,155.68,,,,,,,,,,
60,61,delirious,141.23,,,,,,,,,,
61,62,schollie,152.72,,,,,,,,,,
62,63,_v3_,157.73,,,,,,,,,,
63,64,weihceinre,144.9,,,,,,,,,,
64,65,awsomaw,143.45,,,,,,,,,,
65,66,⦗𝐄𝐂𝐎𝐋⦘ ⦓�..,112.79,,,,,,,,,,
66,67,sany5505,145.58,,,,,,,,,,
67,68,actuallymo..,152.57,,,,,,,,,,
68,69,iamslow103,149.41,,,,,,,,,,
69,70,supere..,141.4,,,,,,,,,,
70,71,adam1205,153.37,,,,,,,,,,
71,72,disclo5ure,148.95,,,,,,,,,,
72,73,firewolfrain,148.78,,,,,,,,,,
73,74,andreaak00,146.75,,,,,,,,,,
74,75,aaronadams,144.88,,,,,,,,,,
75,76,delaw..,153.11,,,,,,,,,,
76,77,slowvinni,151.58,,,,,,,,,,
77,78,schizo_guy,146.31,,,,,,,,,,
78,79,codecub,155.23,,,,,,,,,,
79,80,sierra05,151.66,,,,,,,,,,
80,81,bblaise,139.36,,,,,,,,,,
81,82,erniechiew,132.34,,,,,,,,,,
82,83,residober,144.58,,,,,,,,,,
83,84,o________o,152.93,,,,,,,,,,
84,85,modest_ked,136.35,,,,,,,,,,
85,86,wordracer888,125.15,,,,,,,,,,
86,87,wjsprowler,147.48,,,,,,,,,,
87,88,Hreyfill Hreyfill Hreyfill ..,140.32,,,,,,,,,,
88,89,lithox2,139.38,,,,,,,,,,
89,90,mispelled,162.05,,,,,,,,,,
90,91,jash..,147.9,,,,,,,,,,
91,92,usaintraining,151.55,,,,,,,,,,
92,93,hujala,140.32,,,,,,,,,,
93,94,e6f4e37l,147.61,,,,,,,,,,
94,95,soupy,146.2,,,,,,,,,,
95,96,leo8786,150.24,,,,,,,,,,
96,97,e..,146.23,,,,,,,,,,
97,98,rainnonquit,141.03,,,,,,,,,,
98,99,plorksauce,148.6,,,,,,,,,,
99,100,han2000,146.59,,,,,,,,,,
100,101,dou_,147.04,,,,,,,,,,
101,102,ucsd_kid slacking on work-A..,149.76,,,,,,,,,,
102,103,thefatninja69,145.83,,,,,,,,,,
103,104,just_sayori,139.47,,,,,,,,,,
104,105,m..,137.54,,,,,,,,,,
105,106,dowon,133.76,,,,,,,,,,
106,107,vinninq,135.41,,,,,,,,,,
107,108,tanoh,147.01,,,,,,,,,,
108,109,ghall,135.13,,,,,,,,,,
109,110,siglemic,125.01,,,,,,,,,,
110,111,uchihalol,128.33,,,,,,,,,,
111,112,crdm0,139.69,,,,,,,,,,
112,113,monesles,147.39,,,,,,,,,,
113,114,staticnine,148.1,,,,,,,,,,
114,115,johnnew,147.86,,,,,,,,,,
115,116,"Collapsing Star, Roaring Ca..",143.42,,,,,,,,,,
116,117,jyin,141.19,,,,,,,,,,
117,118,c0decub,146.64,,,,,,,,,,
118,119,lhykv,141.78,,,,,,,,,,
119,120,daniel598,140.01,,,,,,,,,,
120,121,playscrabble,129.24,,,,,,,,,,
121,122,vdud3,132.43,,,,,,,,,,
122,123,notapplicable,142.57,,,,,,,,,,
123,124,mononym_jisoo,128.3,,,,,,,,,,
124,125,moffitt,143.8,,,,,,,,,,
125,126,smtchahal2,136.84,,,,,,,,,,
126,127,himajintyper,133.66,,,,,,,,,,
127,128,onetruegodniccage,140.31,,,,,,,,,,
128,129,sigel,144.37,,,,,,,,,,
129,130,jestercapo..,130.74,,,,,,,,,,
130,131,vincehardy2,146.29,,,,,,,,,,
131,132,potus_donaldtrump,147.53,,,,,,,,,,
132,133,valikor,135.35,,,,,,,,,,
133,134, (ayeyuhskuh,129.77,,,,,,,,,,
134,135,dogfoodlid,146.19,,,,,,,,,,
135,136,abhib22,145.64,,,,,,,,,,
136,137,paradoxp..,139.72,,,,,,,,,,
137,138,vinning,141.68,,,,,,,,,,
138,139,mokori,123.73,,,,,,,,,,
139,140,chawahir,141.11,,,,,,,,,,
140,141,andreaak,145.78,,,,,,,,,,
141,142,kareemhunt,140.99,,,,,,,,,,
142,143,spondulix,144.08,,,,,,,,,,
143,144,andrewhan,140.82,,,,,,,,,,
144,145,novabond,127.86,,,,,,,,,,
145,146,melikepi,139.49,,,,,,,,,,
146,147,zapakh,136.95,,,,,,,,,,
147,148,g1_petroleum,143.11,,,,,,,,,,
148,149,actuallynonquitforlife,137.48,,,,,,,,,,
149,150,gaborone,143.73,,,,,,,,,,
150,151,melot,138.1,,,,,,,,,,
151,152,drlawc2,135.39,,,,,,,,,,
152,153,shadowyshadows,135.55,,,,,,,,,,
153,154,jordan2380,143.49,,,,,,,,,,
154,155,u_r_n00b,143.3,,,,,,,,,,
155,156,hospi..,142.67,,,,,,,,,,
156,157,zyrrac2,138.05,,,,,,,,,,
157,158,kingstealth,146.42,,,,,,,,,,
158,159,रोहित सिं�..,139.77,,,,,,,,,,
159,160,justt..,133.72,,,,,,,,,,
160,161,indoviet,136.23,,,,,,,,,,
161,162,ॐ ღ kelly ღ ॐ ♥ ..,145.56,,,,,,,,,,
162,163,keatonsmith,128.22,,,,,,,,,,
163,164,amun,123.41,,,,,,,,,,
164,165,jeff1104,137.39,,,,,,,,,,
165,166,elpelaodank,142.49,,,,,,,,,,
166,167,cliffcatastrophe,137.73,,,,,,,,,,
167,168,carlibou,138.73,,,,,,,,,,
168,169,poem,123.15,,,,,,,,,,
169,170,dizzi445,141.43,,,,,,,,,,
170,171,leonzalion,138.08,,,,,,,,,,
171,172,deskripper,129.86,,,,,,,,,,
172,173,stev_cubed,141.85,,,,,,,,,,
173,174,s3rez,138.81,,,,,,,,,,
174,175,howdoigetfaster,136.75,,,,,,,,,,
175,176,jeehoonoh,131.78,,,,,,,,,,
176,177,ʝ̶Ӽ̶ʋ̶ǟ̶ռ̶Ӽ̶ʋ�..,140.54,,,,,,,,,,
177,178,tjddb123456,140.29,,,,,,,,,,
178,179,adamallerto..,141.73,,,,,,,,,,
179,180,gianthetaco,140.26,,,,,,,,,,
180,181,defined,136.59,,,,,,,,,,
181,182,styrofoam,123.9,,,,,,,,,,
182,183,primalknight,134.43,,,,,,,,,,
183,184,elusoryx,135.9,,,,,,,,,,
184,185,h0tmama,139.04,,,,,,,,,,
185,186,randumbtyper,138.9,,,,,,,,,,
186,187,etay5621,127.47,,,,,,,,,,
187,188,90wpmomg,136.76,,,,,,,,,,
188,189,dariacore dariacore dariaco..,131.12,,,,,,,,,,
189,190,dr_gammaray,128.24,,,,,,,,,,
190,191,fafadoodle,128.81,,,,,,,,,,
191,192,it hurts to type,137.53,,,,,,,,,,
192,193,geometricv,136.48,,,,,,,,,,
193,194,noomo,132.73,,,,,,,,,,
194,195,Jimy sucks at choosing pass..,136.73,,,,,,,,,,
195,196,lauren,139.13,,,,,,,,,,
196,197,sir_rebral_palsy,137.87,,,,,,,,,,
197,198,framed..,129.09,,,,,,,,,,
198,199,⚡️ ML ⚡ go to wandb.m..,135.35,,,,,,,,,,
199,200,typingaccount10,138.46,,,,,,,,,,
200,201,Roadsweeper Dropping D; dan..,126.62,,,,,,,,,,
201,202,jumban,120.37,,,,,,,,,,
202,203,seckdaddy,138.59,,,,,,,,,,
203,204,emrenegades,136.72,,,,,,,,,,
204,205,winterpro,138.98,,,,,,,,,,
205,206,hyper_racer,112.59,,,,,,,,,,
206,207,vinniwooh,134.77,,,,,,,,,,
207,208,symfonia,136.26,,,,,,,,,,
208,209,ptes77,129.59,,,,,,,,,,
209,210,twitch.tv/typeracerderochee..,127.72,,,,,,,,,,
210,211,charlieog,120.83,,,,,,,,,,
211,212,330am,138.56,,,,,,,,,,
212,213,thedragonemperor,135.55,,,,,,,,,,
213,214,newkeyboardlove,134.42,,,,,,,,,,
214,215,havocprodigy,133.11,,,,,,,,,,
215,216,mitch7656,126.87,,,,,,,,,,
216,217,traben,135.26,,,,,,,,,,
217,218,7031,126.22,,,,,,,,,,
218,219,cspenguino,134.44,,,,,,,,,,
219,220,pauliegohome,135.23,,,,,,,,,,
220,221,rubberdome,135.65,,,,,,,,,,
221,222,keatonasmith,133.12,,,,,,,,,,
222,223,sifo,136.62,,,,,,,,,,
223,224,grigoras92,132.97,,,,,,,,,,
224,225,nameless337,129.19,,,,,,,,,,
225,226,´︶`,126.33,,,,,,,,,,
226,227,dragoomba,134.98,,,,,,,,,,
227,228,swaax,122.14,,,,,,,,,,
228,229,qwerty91994,133.15,,,,,,,,,,
229,230,iwinn,128.81,,,,,,,,,,
230,231,mixxanber,134.55,,,,,,,,,,
231,232,boy_314,123.21,,,,,,,,,,
232,233,sircw,135.67,,,,,,,,,,
233,234,wumpified8,133.36,,,,,,,,,,
234,235,poke1,128.49,,,,,,,,,,
235,236,ebic_gamer,131.02,,,,,,,,,,
236,237,"glue gun, things are gonna ..",129.89,,,,,,,,,,
237,238,Mr. lee's expository writin..,114.15,,,,,,,,,,
238,239,Aaron Adams summer 2018 non..,137,,,,,,,,,,
239,240,potatoloh228,130.9,,,,,,,,,,
240,241,bread..,134.2,,,,,,,,,,
241,242,cytokid101,123.22,,,,,,,,,,
242,243,spicytuna1,134.63,,,,,,,,,,
243,244,slayman19,126.99,,,,,,,,,,
244,245,nonquit13,135.49,,,,,,,,,,
245,246,attilitus,128.47,,,,,,,,,,
